model;accuracy;precision;recall;roc
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9574;0.4375;0.5;0.7376
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9601;0.4667;0.5;0.739
smote;0.9574;0.4375;0.5;0.7376
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
smote;0.9601;0.4667;0.5;0.739
smote;0.9628;0.5;0.5;0.7403
smote;0.9628;0.5;0.5;0.7403
